Designator,Mid X,Mid Y,Rotation,Layer
C1,155.725,-76.65,0.0,top
C10,144.5,-74.125,0.0,top
C11,127.075,-77.2,270.0,top
C12,167.125,-77.375,270.0,top
C13,115.675,-86.775,90.0,top
C14,135.75,-86.77,90.0,top
C15,155.75,-86.75,90.0,top
C16,175.75,-86.75,90.0,top
C17,124.75,-87.85,270.0,top
C18,144.8,-87.85,270.0,top
C19,164.7,-87.8,270.0,top
C2,155.725,-75.475,0.0,top
C20,184.7,-87.8,270.0,top
C21,124.75,-90.5,270.0,top
C22,144.8,-90.52,270.0,top
C23,164.7,-90.52,270.0,top
C24,184.7,-90.52,270.0,top
C3,155.725,-74.3,0.0,top
C4,114.125,-77.525,0.0,top
C5,144.5,-76.475,180.0,top
C6,144.5,-75.3,180.0,top
C7,117.25,-79.575,270.0,top
C8,102.75,-83.0,0.0,top
C9,110.0,-83.605424,90.0,top
D1,110.0,-76.75,90.0,top
D2,120.598,-77.8,0.0,top
D3,114.0,-96.0,90.0,top
D4,134.0,-96.0,90.0,top
D5,174.0,-96.0,90.0,top
D6,154.0,-96.0,90.0,top
J1,102.25,-77.0,270.0,top
J2,138.0,-72.0,0.0,top
J3,120.0,-95.5,0.0,top
J4,140.0,-95.5,0.0,top
J5,160.0,-95.5,0.0,top
J6,180.0,-95.5,0.0,top
Q1,117.76,-91.0,0.0,top
Q2,137.75,-91.0,0.0,top
Q3,157.75,-91.0,0.0,top
Q4,177.75,-91.0,0.0,top
R1,144.5,-71.85,0.0,top
R10,126.801453,-87.393054,0.0,top
R11,126.8,-86.2,0.0,top
R12,146.8,-87.4,0.0,top
R13,146.8,-86.275,0.0,top
R14,166.675,-87.35,0.0,top
R15,166.675,-86.225,0.0,top
R16,186.675,-87.425,0.0,top
R17,186.675,-86.3,0.0,top
R18,124.75,-93.225,90.0,top
R19,144.8,-93.225,90.0,top
R2,144.5,-72.975,0.0,top
R20,164.7,-93.225,90.0,top
R21,184.7,-93.225,90.0,top
R22,119.775,-93.3,180.0,top
R23,139.775,-93.3,180.0,top
R24,159.8,-93.3,180.0,top
R25,179.8,-93.3,180.0,top
R26,130.35,-73.3,90.0,top
R27,129.2,-73.3,90.0,top
R3,105.45,-83.0,180.0,top
R4,155.725,-72.825,180.0,top
R5,155.725,-71.7,180.0,top
R6,114.0,-93.2,270.0,top
R7,134.0,-93.25,270.0,top
R8,174.0,-93.275,270.0,top
R9,154.0,-93.275,270.0,top
U1,114.519654,-79.788517,0.0,top
U10,142.0,-91.0,0.0,top
U11,162.0,-91.0,0.0,top
U12,182.0,-91.0,0.0,top
U2,150.0,-75.0,0.0,top
U3,130.5,-79.5,90.0,top
U4,170.5,-79.5,90.0,top
U5,120.0,-85.5,0.0,top
U6,140.032,-85.5,0.0,top
U7,160.0,-85.45,0.0,top
U8,180.0,-85.5,0.0,top
U9,122.01,-91.0,0.0,top
